"Country","Year","Rank","Total","C1: Security Apparatus","C2: Factionalized Elites","C3: Group Grievance","E1: Economy","E2: Economic Inequality","E3: Human Flight and Brain Drain","P1: State Legitimacy","P2: Public Services","P3: Human Rights","S1: Demographic Pressures","S2: Refugees and IDPs","X1: External Intervention","Fragile State Index"
"Serbia","2017","107th","70","5.5","8","7.3","6.4","4.8","5.3","5.2","4.2","4.4","4.3","8.4","6.2","Warning"
"Ghana","2017","108th","69.7","3.8","5.2","4.4","6.1","6.6","8.2","4.2","7.8","5.1","6.6","5","6.7","Warning"
"Dominican Republic","2017","109th","69","5.8","6.2","5.8","5.5","5.8","7.1","5.5","6.3","5.8","6.5","3.3","5.4","Warning"
"Brazil","2017","110th","68.2","6.7","4.9","6.2","4.8","7.8","4.6","6.2","6.4","6.4","8.1","2.8","3.3","Warning"
"Samoa","2017","111th","67.1","4.7","5.1","4.5","6.3","4.9","9.5","5.5","4.9","4.1","5.7","2.7","9.2","Warning"
"Macedonia","2017","112th","66.1","5.6","7.3","6.9","5.8","5.2","5.2","5.8","3.9","3.8","3.3","7.3","6","Warning"
"Kazakhstan","2017","113th","65.9","5.2","7.6","7.6","6.4","4.2","3.6","8.3","4","7.3","4.5","3","4.2","Warning"
"Suriname","2017","113th","65.9","4.9","5.8","5.8","7.1","6.1","6.8","5","5.6","4.6","5.3","3","5.9","Warning"
"Belize","2017","115th","65.5","6.4","4.3","4.1","6.7","5.4","6.6","5.2","5.9","4.7","5.1","3.6","7.5","Warning"
"Malaysia","2017","116th","65.4","6.3","6.8","6.5","3.1","5","5","7.7","4.2","8","5.3","3.7","3.8","Warning"
"Jamaica","2017","117th","65.2","6.9","3.7","3.4","6.9","5.1","8.4","4.8","6.4","5.5","5.2","3.1","5.8","Warning"
"Bahrain","2017","118th","64.9","6.9","7.6","8.4","3.8","4.6","3.5","8.2","1.8","8.8","4.1","2.4","4.8","Warning"
"Cuba","2017","119th","64.6","5.2","7","4","4","5.4","5.2","7.6","4.1","7.5","5.5","4","5.1","Warning"
"Botswana","2017","120th","63.8","4.1","3.3","4.9","5.8","7.8","5.5","3.3","7.3","5","8.2","4.5","4.1","Warning"
"Cyprus","2017","121st","62.6","4.4","7.9","6.3","6","5.9","4","4.8","2.5","3","3.5","5.3","9","Warning"
"Brunei Darussalam","2017","122nd","61.6","5.1","7.4","5.9","3.5","7.8","4.6","8.3","1.8","7.7","3.7","2.2","3.6","Warning"
"Grenada","2017","123rd","61.5","5.7","5.6","3.8","6","4.8","8.4","5.4","3.8","3.2","4.7","3","7.1","Warning"
"Albania","2017","124th","60.5","4.7","6.2","4.5","5.4","3.6","7.6","5.7","4","4.8","3.7","3.6","6.7","Warning"
"Seychelles","2017","125th","59.4","6.1","6","4.5","4.1","5.5","5.9","5.5","2.7","3.8","5.1","3.2","7","Stable"
"Kuwait","2017","126th","58.5","4.2","7.8","4.7","3","4.2","3.6","7.2","2.6","7.9","5","3.5","4.8","Stable"
"Greece","2017","127th","57.5","4.5","4.1","5.4","6.5","3.7","3.3","6.7","3.8","3.2","3.7","6.5","6.1","Stable"
"Mongolia","2017","128th","56.7","3.6","5.5","3.8","5","6.4","3.3","4","5.4","4.5","5.1","3","7.1","Stable"
"Trinidad and Tobago","2017","128th","56.7","6.3","5.6","4.2","4.4","4.9","8.1","4.5","4.3","4.1","4.5","2.7","3.1","Stable"
"Montenegro","2017","130th","55.7","4","6.5","7.9","5.2","2.4","4","4.6","3.1","4.1","2.8","4.6","6.5","Stable"
