"Country","Year","Rank","Total","C1: Security Apparatus","C2: Factionalized Elites","C3: Group Grievance","E1: Economy","E2: Economic Inequality","E3: Human Flight and Brain Drain","P1: State Legitimacy","P2: Public Services","P3: Human Rights","S1: Demographic Pressures","S2: Refugees and IDPs","X1: External Intervention","Education(Mean years of schooling","Health(Current health expenditure (% of GDP)","Unemployment","Population growth","Corruption","Human Development Index","Fragile State Index"
"Costa Rica","2017","145th","75.3","3.6","3.8","4.2","4","5.3","4.1","2.4","3.9","1.5","3.3","3.9","4.1","8.7","7.3","8.1","3.3","2.98","0.8","Warning"
"Slovak Republic","2017","144th","73.8","1.8","4.7","6.9","4.6","3.5","4.2","4.3","2.4","2.5","2.3","3.8","3.3","12.6","6.7","5.9","0.2","3.32","0.8","Warning"
"Lithuania","2017","148th","71.8","3.1","3","4.4","4.5","4.5","4.4","2.7","3.5","2.5","2.8","2.3","4","12.5","6.5","7.1","1.4","2.21","0.4","Warning"
"Chile","2017","150th","71.2","3.2","2.2","3.6","3.2","5.7","3.8","3.3","4","3","4.9","2.1","2.1","10.4","9","7","1","2.03","0.7","Warning"
"Spain","2017","155th","71.2","2.8","6.3","5.7","5.2","3.5","1.9","2.8","2.2","1.8","2","1.9","1.8","10.2","8.9","11.3","0.2","1.82","0.9","Warning"
"Poland","2017","151st","69.3","1.8","4.2","5.4","3.6","3","4.5","3.3","2.3","3.2","3","3.6","2.9","12.3","6.5","4.9","1.4","2.56","0.8","Warning"
"France","2017","159th","68","3.3","1.9","7","4.3","3.2","2.2","1.3","1.1","2.1","2.8","2.5","1.8","11.4","11.3","9.4","0.2","1.36","0.8","Warning"
"Japan","2017","156th","67.7","1.6","2.6","3.7","4.1","1.6","3.2","1.2","2.2","3","6","4.4","3.8","12.8","10.9","2.8","0.2","2.66","0.9","Warning"
"Czech Republic","2017","152nd","66","2.6","5","4.8","4.6","2.7","2.8","4.7","2.6","2.4","1.4","3.8","2.7","12.7","7.2","2.9","0.3","1.98","0.8","Warning"
"Uruguay","2017","157th","65.8","3.8","2.7","2.5","3.6","4.1","4.4","1","2.9","2.8","3.8","2.5","2.7","8.7","9.3","5.2","1.7","3.24","0.9","Warning"
"United Arab Emirates","2017","147th","65.5","3.1","3.6","3.4","2.4","3.4","2.5","6.7","2.2","7.8","4","2.2","2.4","12.1","3.3","2.1","1.3","2.27","0.7","Warning"
"Singapore","2017","161st","65.3","1.6","4","2.6","2","3.8","3.3","3.9","1.3","4.6","2.5","1.7","1.2","11.4","4.4","13.3","0.5","2.26","0.9","Warning"
"Portugal","2017","164th","64.4","1.3","2.5","2.5","5.3","2.5","2.2","1.6","2.2","1.8","2.1","2.2","2.8","9.2","9","8.9","0","7.5","0.8","Warning"
"Mauritius","2017","148th","64.1","2.3","3.2","3.6","4","3.5","4.4","3","3.3","3.4","3.6","2.7","4.7","4.5","5.7","6.8","0.1","4.41","0.9","Warning"
"Slovenia","2017","162nd","63.3","1.6","1.7","4.5","3.8","3.4","3.1","2.7","1.5","1.5","2.3","4","2.3","12.3","8.2","6.6","0.1","2.78","0.9","Warning"
"Belgium","2017","163rd","63.1","2.4","4.4","4.9","4.2","2.7","1.6","1.4","2.3","1.5","2","2.4","1","12","10.3","7.1","0.4","1.63","0.9","Warning"
"South Korea","2017","154th","60.6","2.1","4.3","2.9","2","3","3.9","4.4","1.9","2.9","3.1","2","5.6","7.8","6.7","4.8","1.4","1.56","0.2","Warning"
"Qatar","2017","146th","60.5","2.6","5","4.6","2.1","4.7","2.6","6.3","1.3","6.3","3.8","2","2.7","9.7","2.6","0.1","0.2","3.12","0.8","Warning"
"Germany","2017","165th","60.3","2.1","2.3","5","2.2","2.8","2.1","1","1.1","1.1","2","5.4","1","14.1","11.2","3.7","0.4","1.87","0.9","Warning"
"Austria","2017","166th","59","1","3.2","4.5","2.2","2.9","1.5","1.4","1.1","1.2","1.9","5.6","1.2","12.6","10.4","5.5","0.7","1.17","0.9","Stable"
"Malta","2017","153rd","58.9","3.6","2","3.9","4","2.6","3.7","3.6","2","3","2.5","4.4","3.3","2.3","9.3","4","2.7","1.18","0.8","Stable"
"Netherlands","2017","167th","58.3","1.5","3.1","4.5","2.7","2.2","2.6","1.3","1","1","2.5","3.8","1.2","12.3","10.1","4.8","0.6","2.23","0.9","Stable"
"Canada","2017","169th","57.6","2.2","2.5","3.4","1.8","2.5","1.7","1","1.5","1.3","1.9","1.8","1","13.3","10.6","6.3","1.3","2.58","0.9","Stable"
"Norway","2017","177th","56.6","2","1.1","3.6","2.2","1.5","1.6","0.8","1","1.1","1.5","2.8","1.3","12.8","10.4","4.2","0.8","7","0.9","Stable"
"New Zealand","2017","170th","54.6","1.2","1.4","3.6","3.6","2.3","2.1","0.9","1.4","1","2.1","1.8","1.2","12.7","9.2","4.7","2.1","2.4","0.9","Stable"
"Ireland","2017","172nd","54.4","2.1","1.5","1.4","3.4","2.2","2.8","1","1.4","1.4","1.7","2","1.4","12.5","7.2","6.7","1.1","3.68","0.9","Stable"
"Denmark","2017","175th","54.2","1.7","1.4","4.4","2","1.6","1.9","0.9","1","1.5","2","2.1","1","12.6","10.1","5.7","0.6","2.75","0.9","Stable"
"Australia","2017","172nd","53.8","2.1","1.7","3.9","1.7","2.2","1.3","1","1.5","2.3","1.3","2.3","1","12.7","9.2","5.6","1.7","1.4","0.9","Stable"
"Finland","2017","178th","53.6","1.7","1.1","1.8","3.5","1","2.3","0.9","1","1","1.1","2.3","1","12.8","9.2","8.6","0.6","2.84","0.9","Stable"
"Iceland","2017","171st","53.5","1","1.8","1.3","3.3","1.1","2.8","1.3","1.2","1","1.6","2","4.1","12.4","8.3","2.7","2.3","4.38","0.9","Stable"
"Luxembourg","2017","168th","52.7","1.7","3.4","3.1","1.2","1.6","2.1","1","2.1","1","1.6","3.5","1.1","13","5.5","5.5","2.4","2.08","0.8","Stable"
"Switzerland","2017","176th","52.5","1.1","1","3.6","2.3","2.2","2.1","1","1","1.8","1.5","2.5","1","13.1","12.3","2.7","0.9","1.93","0.5","Stable"
"Sweden","2017","174th","47.3","2.1","1.8","1.5","1.8","1.8","1.5","1","1.1","1.1","2","5.3","1.1","12.4","7.8","1.1","1.3","1.71","0.9","Stable"
