"Country","Year","Rank","Total","C1: Security Apparatus","C2: Factionalized Elites","C3: Group Grievance","E1: Economy","E2: Economic Inequality","E3: Human Flight and Brain Drain","P1: State Legitimacy","P2: Public Services","P3: Human Rights","S1: Demographic Pressures","S2: Refugees and IDPs","X1: External Intervention","Education(Mean years of schooling","Health(Current health expenditure (% of GDP)","Unemployment","Population growth","Corruption","Human Development Index","Fragile State Index"
"Burundi","2017","17th","117.8","8.8","8.2","7.9","8","7.2","6.3","8.8","8","8.8","9.3","8.6","9","3","7.5","1.5","3.2","3.29","0.4","Alert"
"Egypt","2017","36th","117.8","8.1","8.8","8.8","8.2","6","4.7","8.2","4.9","9.8","7.1","7.3","7.9","7.2","5.3","11.7","0.5","2.66","0.6","Alert"
"Guinea","2017","12th","117.1","8.8","9.6","8.6","9.2","7.7","7.4","9.6","9.5","7.7","8.7","8.2","7.4","2.7","4.1","4.3","0.8","2.37","0.4","Alert"
"Sierra Leone","2017","38th","117.1","4.3","7.8","6.2","8.6","8.3","8.5","6.9","8.8","5.3","9","7.7","7.9","3.5","13.4","8.4","0.1","1.95","0.4","Alert"
"Tajikistan","2017","61st","116.8","6.7","8.4","7.4","7.3","4.8","6.2","9.1","5.6","8.2","7.9","4.3","5.9","10.6","7.2","10.8","2.5","3.28","0.6","Alert"
"Congo Republic","2017","29th","116.554","7.2","6.7","7.2","7","8.1","7.4","8.9","9.5","8.5","8.1","7.7","7.1","6.5","2.9","9.8","2.3","1.08","0.574","Alert"
"Bosnia and Herzegovina","2017","93rd","116.5","5.7","8.7","7","5.7","5.1","5.5","6.5","3.6","5.6","3.8","7.6","8.2","9.8","8.9","20.5","1","2.56","0.7","Alert"
"Mali","2017","31st","116.3","9","4.9","7.4","7.7","7.4","8.5","6.1","8.8","7.3","8.5","7.9","9.4","6.8","3.8","7.3","3","2.08","0.4","Alert"
"Eritrea","2017","19th","116.2","7.2","8.1","7.1","8.1","7.8","8.3","9.3","8.4","9","8.8","8.3","7.7","3.9","2.9","5.2","2.1","3.56","0.4","Alert"
"Guinea Bissau","2017","16th","116.2","8.9","9.6","5.2","8.3","9.1","8.1","9.2","9.4","7.5","8.6","7.3","8.3","3.3","7.2","2.5","1.6","1.7","0.4","Alert"
"Uganda","2017","24th","116.1","7.1","8.6","8.5","5.5","7.4","7.6","8.6","8.3","7.8","9","9.3","8.3","5.8","6.2","4.4","1.2","1.78","0.7","Alert"
"Solomon Islands","2017","52nd","115.3","5.9","8.2","6.5","7.1","9","6.9","6.8","7.7","5.2","8.5","4.4","8.6","5.5","4.7","13.5","2.6","3.71","0.5","Alert"
"Armenia","2017","102nd","115.2","5.5","7.4","6.1","6.3","4.5","6.2","7.6","3.6","7","3.1","7","6.7","11.3","10.4","17.7","0.3","3.79","0.7","Alert"
"Kenya","2017","22nd","115.2","8.3","8.9","8.9","6.9","7.9","7.6","7.6","8","7","8.9","8.3","8.1","6.5","4.8","2.7","2.4","1.94","0.5","Alert"
"Pakistan","2017","17th","115.2","9.1","8.9","10","6.9","6.5","7.2","8.1","7.7","8","8.4","8.7","9.4","5.1","2.9","3.9","2.1","1.79","0.5","Alert"
"Gambia","2017","37th","115.1","6.3","7.8","3.8","8.4","6.9","8.3","8.6","7.8","9.4","8.3","6.8","7","3.7","3.3","9.1","3","6.22","0.4","Alert"
"Niger","2017","20th","115","8.7","8.9","8","7.5","8.5","7.5","7.3","9.5","6.5","9","7.9","8.1","2","7.7","0.5","3.8","3.27","0.3","Alert"
"Lebanon","2017","43rd","114.9","8.7","9.3","8.5","6.4","5.6","5","7.6","5.7","7.4","5.6","9.3","9.1","8.7","8.2","6.2","0.8","2.11","0.7","Alert"
"Liberia","2017","27th","114.8","6.4","8.3","5.8","8.1","8.4","7.2","6.8","9.3","6.5","9","8.7","9.3","4.7","8.2","3","1.4","3.24","0.5","Alert"
